# La4Ni3O10 Ni L3 edge RIXS
# Room temperature
# RIXS resolution ~ 0.4 eV
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy loss 	 Intensity
-20.045754       519.10
-19.974493       803.05
-19.903257      1605.20
-19.832046      1679.85
-19.760859      1340.30
-19.689696       736.55
-19.618559      1038.80
-19.547445       940.45
-19.476357      1124.35
-19.405292      1046.90
-19.334253       751.70
-19.263238       384.15
-19.192247       731.45
-19.121281       288.15
-19.050340       347.45
-18.979423      1487.90
-18.908530      1041.45
-18.837663        92.80
-18.766819       439.85
-18.696001       464.00
-18.625206       196.30
-18.554437       640.85
-18.483691      1272.80
-18.412971       520.40
-18.342275       473.10
-18.271603        61.10
-18.200956       253.75
-18.130334       308.45
-18.059736      1418.70
-17.989163       828.90
-17.918614       216.00
-17.848090       547.80
-17.777590       997.60
-17.707115       738.55
-17.636664        36.80
-17.566238      -176.75
-17.495836      -710.00
-17.425459      -164.05
-17.355107       546.70
-17.284779       475.75
-17.214476       332.55
-17.144197       461.80
-17.073942       375.90
-17.003713       880.15
-16.933507      1498.00
-16.863327      1197.75
-16.793171      1328.05
-16.723039       972.40
-16.652932       239.50
-16.582849       481.35
-16.512791      1494.15
-16.442758      1103.85
-16.372749       781.70
-16.302765       744.95
-16.232805      1386.90
-16.162870      1030.95
-16.092959        64.25
-16.023073      1021.20
-15.953211      1084.85
-15.883374       532.60
-15.813561       402.65
-15.743773      1758.40
-15.674010       512.55
-15.604271       807.20
-15.534557       836.80
-15.464867       814.30
-15.395201       796.35
-15.325561      1363.30
-15.255944      1497.10
-15.186353      1429.90
-15.116785      1610.50
-15.047243      1533.60
-14.977725      1438.75
-14.908231       238.30
-14.838762       797.95
-14.769318       299.50
-14.699898       517.65
-14.630503      1208.75
-14.561132      1678.50
-14.491785      1286.15
-14.422464       668.35
-14.353166       556.40
-14.283894      1970.15
-14.214646      1038.60
-14.145422      1554.60
-14.076223      1733.30
-14.007049      1506.45
-13.937899       -49.30
-13.868773       741.80
-13.799672      1250.90
-13.730596      1693.95
-13.661544      1985.65
-13.592517      1687.95
-13.523514       659.45
-13.454536       790.90
-13.385583       874.20
-13.316653      1025.05
-13.247749       807.30
-13.178869      1234.80
-13.110013      1237.10
-13.041183       833.95
-12.972376       564.05
-12.903594      1628.40
-12.834837       505.95
-12.766104       393.05
-12.697396      1672.15
-12.628712      1862.40
-12.560053       539.45
-12.491419      1122.00
-12.422809       441.25
-12.354223      1539.55
-12.285662      1949.40
-12.217126      1445.75
-12.148614       807.85
-12.080127      1333.40
-12.011664      1480.40
-11.943225      2001.85
-11.874812       442.35
-11.806423       402.45
-11.738058       924.70
-11.669718       996.85
-11.601402       815.30
-11.533111      2040.15
-11.464845      1313.95
-11.396603       935.45
-11.328386       938.05
-11.260193      1536.35
-11.192024       778.40
-11.123881       843.85
-11.055761       775.15
-10.987667      1233.05
-10.919597       925.00
-10.851551      2031.55
-10.783530      1658.60
-10.715533      1158.30
-10.647562      1009.90
-10.579614       986.90
-10.511691      1550.35
-10.443793      2236.00
-10.375919      2099.50
-10.308070      1257.55
-10.240245      1721.25
-10.172445      1573.35
-10.104669      1996.40
-10.036918      1961.90
-9.969192       1825.75
-9.901490       2656.25
-9.833812       2358.25
-9.766159       1701.60
-9.698531       1946.55
-9.630927       1915.80
-9.563348       1886.05
-9.495793       1745.75
-9.428263       1342.10
-9.360757       1914.50
-9.293276       2215.95
-9.225819       3132.85
-9.158387       2344.75
-9.090980        967.35
-9.023597       1219.65
-8.956238       1476.60
-8.888904       1636.75
-8.821595       1995.45
-8.754310       1306.15
-8.687050        504.75
-8.619814       1623.15
-8.552603       1793.15
-8.485416       1214.75
-8.418254       1223.55
-8.351117       1704.95
-8.284004       1876.95
-8.216915       1662.90
-8.149851       1486.00
-8.082812       2013.65
-8.015797       2262.20
