# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
7.975000e+01 -4.582068e+01 4.834266e+02
8.025000e+01 -1.770137e+02 4.834266e+02
8.075000e+01 -1.362068e+02 4.834266e+02
8.125000e+01 -3.413998e+02 4.834266e+02
8.175000e+01 -2.785928e+02 4.834266e+02
8.225000e+01 -2.397859e+02 4.834266e+02
8.275000e+01 -2.529789e+02 4.834266e+02
8.325000e+01 -9.717194e+01 4.834266e+02
8.375000e+01 -2.043650e+02 4.834266e+02
8.425000e+01 -1.185580e+02 4.834266e+02
8.475000e+01 -2.757511e+02 4.834266e+02
8.525000e+01 -2.099441e+02 4.834266e+02
8.575000e+01 -2.913713e+01 4.834266e+02
8.625000e+01 -2.563302e+02 4.834266e+02
8.675000e+01 -1.405232e+02 4.834266e+02
8.725000e+01 5.928376e+01 4.834266e+02
8.775000e+01 -8.690928e+01 4.834266e+02
8.825000e+01 -2.471023e+02 4.834266e+02
8.875000e+01 -1.492954e+02 4.834266e+02
8.925000e+01 -1.844884e+02 4.834266e+02
8.975000e+01 -1.996814e+02 4.834266e+02
9.025000e+01 -2.908745e+02 4.834266e+02
9.075000e+01 -1.606750e+01 4.834266e+02
9.125000e+01 -2.442605e+02 4.834266e+02
9.175000e+01 -6.245358e+01 4.834266e+02
9.225000e+01 -1.626466e+02 4.834266e+02
9.275000e+01 -1.308397e+02 4.834266e+02
9.325000e+01 -3.620327e+02 4.834266e+02
9.375000e+01 4.077427e+01 4.834266e+02
9.425000e+01 -2.164188e+02 4.834266e+02
9.475000e+01 -1.576118e+02 4.834266e+02
9.525000e+01 -1.798048e+02 4.834266e+02
9.575000e+01 -3.179979e+02 4.834266e+02
9.625000e+01 -3.181909e+02 4.834266e+02
9.675000e+01 -2.953840e+02 4.834266e+02
9.725000e+01 -2.135770e+02 4.834266e+02
9.775000e+01 -3.107700e+02 4.834266e+02
9.825000e+01 -1.349631e+02 4.834266e+02
9.875000e+01 -1.631561e+02 4.834266e+02
9.925000e+01 -2.003491e+02 4.834266e+02
9.975000e+01 2.145782e+01 4.834266e+02
1.002500e+02 -1.097352e+02 4.834266e+02
1.007500e+02 -1.509283e+02 4.834266e+02
1.012500e+02 -1.531213e+02 4.834266e+02
1.017500e+02 -1.633143e+02 4.834266e+02
