# La4Ni3O10 Ni L3 edge RIXS
# Room temperature
# RIXS resolution ~ 0.4 eV
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy loss 	 Intensity
-27.318329      2130.75
-27.244614      2659.05
-27.170924      2459.50
-27.097259      2394.15
-27.023618      1774.20
-26.950001      2312.55
-26.876409      2246.45
-26.802842      2666.85
-26.729299      1919.95
-26.655781      2004.45
-26.582287      2185.20
-26.508818      1923.00
-26.435373      1544.30
-26.361953      1446.90
-26.288557      1793.40
-26.215186      1383.45
-26.141840      1093.50
-26.068518      1694.05
-25.995220      1486.85
-25.921948      1494.40
-25.848699      1194.25
-25.775475      1612.20
-25.702276      1924.35
-25.629101      1981.45
-25.555951      1652.30
-25.482826      1146.25
-25.409724      1253.00
-25.336648      1845.35
-25.263596      2042.00
-25.190568      2402.20
-25.117565      1892.60
-25.044587      2231.30
-24.971633      2144.90
-24.898704      1628.20
-24.825799      2206.05
-24.752919      2144.85
-24.680063      1699.65
-24.607232      1836.75
-24.534425      1170.05
-24.461643      1115.85
-24.388886      1603.70
-24.316153      2409.85
-24.243444      2034.30
-24.170761      1727.20
-24.098101      1897.90
-24.025466      1686.45
-23.952856      1591.00
-23.880270      1671.40
-23.807709      1549.35
-23.735172      1619.15
-23.662660      1550.35
-23.590173      1446.30
-23.517710      1529.45
-23.445271      1432.25
-23.372857      1833.50
-23.300468      1561.10
-23.228103      1097.10
-23.155763      1232.15
-23.083447      1633.70
-23.011156      1990.50
-22.938889      2322.80
-22.866647      1747.35
-22.794429      1260.55
-22.722236       923.70
-22.650068       907.60
-22.577924       738.80
-22.505804      1275.45
-22.433709      1168.30
-22.361639      1305.80
-22.289593      1500.15
-22.217572      1308.85
-22.145575      1194.05
-22.073603       727.60
-22.001655      1208.15
-21.929732      1367.30
-21.857834      1127.95
-21.785959      1339.95
-21.714110      1493.05
-21.642285      1781.10
-21.570485      1861.00
-21.498709       950.15
-21.426957       924.10
-21.355231      1296.40
-21.283528      1346.65
-21.211851      1256.50
-21.140197       914.90
-21.068569      1034.00
-20.996965        42.30
-20.925385       600.95
-20.853830       974.05
-20.782300      1749.10
-20.710794      1206.10
-20.639312      1062.70
-20.567856      1155.35
-20.496423      1452.50
-20.425016      1232.05
-20.353632      1814.95
-20.282274      1548.25
-20.210940      1756.75
-20.139630      1560.55
-20.068345      1759.05
-19.997084      1949.15
-19.925848      2105.35
-19.854637      1746.35
-19.783450      1276.00
-19.712288      1410.60
-19.641150      1847.50
-19.570037      1878.90
-19.498948      1447.15
-19.427884      1009.20
-19.356844       865.45
-19.285829      1083.10
-19.214839      1371.15
-19.143873      1113.70
-19.072931      1189.35
-19.002014      1325.85
-18.931122       824.95
-18.860254       606.20
-18.789411      1437.75
-18.718592      1319.85
-18.647798       832.35
-18.577028       857.65
-18.506283      1184.15
-18.435562       757.10
-18.364866      1051.80
-18.294195       825.50
-18.223548       939.90
-18.152925      1219.35
-18.082327      1566.95
-18.011754      1619.35
-17.941205      1259.10
-17.870681      1245.95
-17.800181      1591.60
-17.729706      1676.05
-17.659255      1568.70
-17.588829       886.10
-17.518428       384.75
-17.448051       926.50
-17.377698       874.05
-17.307370       888.00
-17.237067       900.80
-17.166788       924.70
-17.096534      1450.95
-17.026304      1714.20
-16.956099      1793.10
-16.885918      1354.50
